"2026-04-20 20:42:25.590" Selfbus garage door gateway
"2026-04-20 20:42:25.609" Tx/Rx;frame;count;delta ms;crc status;frame crc;calculated crc
"2026-04-20 20:43:01.989" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:02.109" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:02.259" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:02.398" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:02.529" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:02.669" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:02.799" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:02.940" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:43:03.079" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:03.212" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:03.355" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:03.498" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:03.619" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:03.768" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:03.888" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:04.028" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:04.179" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:04.308" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:43:04.448" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:04.568" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:04.718" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:43:04.858" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:04.988" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:05.128" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:05.277" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:05.404" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:05.547" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:05.674" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:43:05.808" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:05.958" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:06.081" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:06.230" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:06.357" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:06.498" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:06.639" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:43:06.769" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:06.913" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:07.049" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:43:07.184" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:07.326" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:07.449" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:07.589" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:07.738" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:43:07.867" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:43:08.008" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:08.137" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:08.278" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:08.419" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:08.549" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:08.691" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:43:08.836" Rx;00 01 02 CA;4;137;ok;CA;CA
